project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except,log_loc,avg_function_size,classes_per_loc,control_flow_density,exception_density,imports_per_function,complexity_per_loc,complexity_per_function,coverage_rank
click,src/click/__init__.py,0,83,70,0.8433734939759037,4,4,1.0,0.8433734939759037,0.04819277108433735,1,0,69,4,0,0,4.430816798843313,83.0,0.0,0.04819277108433735,0.0,69.0,0.060240963855421686,5.0,0.5
click,src/click/_compat.py,0,317,233,0.7350157728706624,43,39,0.9069767441860465,0.7350157728706624,0.13564668769716087,49,3,15,42,2,17,5.762051382780177,6.469387755102041,0.00946372239747634,0.138801261829653,0.05362776025236593,0.30612244897959184,0.19558359621451105,1.2653061224489797,0.3125
click,src/click/_termui_impl.py,0,494,236,0.4777327935222672,99,44,0.4444444444444444,0.4777327935222672,0.20040485829959515,36,2,40,94,6,13,6.20455776256869,13.722222222222221,0.004048582995951417,0.20242914979757085,0.02631578947368421,1.1111111111111112,0.23076923076923078,3.1666666666666665,0.0625
click,src/click/_textwrap.py,0,33,24,0.7272727272727273,4,2,0.5,0.7272727272727273,0.12121212121212122,3,1,4,3,1,1,3.5263605246161616,11.0,0.030303030303030304,0.12121212121212122,0.030303030303030304,1.3333333333333333,0.18181818181818182,2.0,0.25
click,src/click/_utils.py,0,16,16,1.0,0,0,0.0,1.0,0.0,1,1,3,0,0,0,2.833213344056216,16.0,0.0625,0.0,0.0,3.0,0.0625,1.0,1.0
click,src/click/_winconsole.py,0,165,91,0.5515151515151515,14,2,0.14285714285714285,0.5515151515151515,0.08484848484848485,20,5,28,14,1,5,5.111987788356544,8.25,0.030303030303030304,0.09090909090909091,0.030303030303030304,1.4,0.12727272727272726,1.05,0.125
click,src/click/core.py,0,1204,1118,0.9285714285714286,279,266,0.953405017921147,0.9285714285714286,0.23172757475083056,140,11,54,257,26,8,7.094234845924755,8.6,0.009136212624584718,0.2350498338870432,0.006644518272425249,0.38571428571428573,0.2425249169435216,2.085714285714286,0.75
click,src/click/decorators.py,0,179,125,0.6983240223463687,30,17,0.5666666666666667,0.6983240223463687,0.16759776536312848,33,0,15,33,0,2,5.19295685089021,5.424242424242424,0.0,0.18435754189944134,0.0111731843575419,0.45454545454545453,0.2011173184357542,1.0909090909090908,0.1875
click,src/click/exceptions.py,0,131,121,0.9236641221374046,20,19,0.95,0.9236641221374046,0.15267175572519084,20,11,12,21,0,0,4.882801922586371,6.55,0.08396946564885496,0.16030534351145037,0.0,0.6,0.16793893129770993,1.1,0.625
click,src/click/formatting.py,0,139,134,0.9640287769784173,25,25,1.0,0.9640287769784173,0.17985611510791366,17,1,8,17,8,2,4.941642422609304,8.176470588235293,0.007194244604316547,0.17985611510791366,0.014388489208633094,0.47058823529411764,0.2014388489208633,1.6470588235294117,0.9375
click,src/click/globals.py,0,22,21,0.9545454545454546,3,3,1.0,0.9545454545454546,0.13636363636363635,6,0,4,4,0,1,3.1354942159291497,3.6666666666666665,0.0,0.18181818181818182,0.045454545454545456,0.6666666666666666,0.2727272727272727,1.0,0.875
click,src/click/parser.py,0,245,233,0.9510204081632653,54,54,1.0,0.9510204081632653,0.22040816326530613,21,4,21,48,7,3,5.5053315359323625,11.666666666666666,0.0163265306122449,0.22448979591836735,0.012244897959183673,1.0,0.24081632653061225,2.8095238095238093,0.8125
click,src/click/shell_completion.py,0,218,199,0.9128440366972477,31,28,0.9032258064516129,0.9128440366972477,0.14220183486238533,27,5,17,25,6,3,5.389071729816501,8.074074074074074,0.022935779816513763,0.14220183486238533,0.013761467889908258,0.6296296296296297,0.16055045871559634,1.2962962962962963,0.5625
click,src/click/termui.py,0,199,152,0.7638190954773869,42,34,0.8095238095238095,0.7638190954773869,0.21105527638190955,23,0,27,43,4,7,5.298317366548036,8.652173913043478,0.0,0.23618090452261306,0.035175879396984924,1.173913043478261,0.27638190954773867,2.391304347826087,0.375
click,src/click/types.py,0,426,395,0.9272300469483568,58,57,0.9827586206896551,0.9272300469483568,0.13615023474178403,66,19,25,59,1,11,6.056784013228625,6.454545454545454,0.04460093896713615,0.14084507042253522,0.025821596244131457,0.3787878787878788,0.16901408450704225,1.0909090909090908,0.6875
click,src/click/utils.py,0,234,189,0.8076923076923077,48,40,0.8333333333333334,0.8076923076923077,0.20512820512820512,31,3,24,46,3,5,5.459585514144159,7.548387096774194,0.01282051282051282,0.2094017094017094,0.021367521367521368,0.7741935483870968,0.23504273504273504,1.7741935483870968,0.4375
