project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except
django,D:\coverage_ml\repos\django\django\__init__.py,5,12,12,1.0,1,1,1.0,1.0,0.08333333333333333,1,0,5,1,0,0
django,D:\coverage_ml\repos\django\django\__main__.py,5,3,3,1.0,1,1,1.0,1.0,0.3333333333333333,0,0,1,1,0,0
django,D:\coverage_ml\repos\django\django\shortcuts.py,5,66,66,1.0,12,12,1.0,1.0,0.18181818181818182,6,0,5,12,0,3
django,D:\coverage_ml\repos\django\django\apps\__init__.py,6,3,3,1.0,0,0,0.0,1.0,0.0,0,0,2,0,0,0
django,D:\coverage_ml\repos\django\django\apps\config.py,6,117,117,1.0,24,24,1.0,1.0,0.20512820512820512,10,1,7,23,1,5
django,D:\coverage_ml\repos\django\django\apps\registry.py,6,177,172,0.9717514124293786,36,36,1.0,0.9717514124293786,0.2033898305084746,21,1,9,26,10,2
django,D:\coverage_ml\repos\django\django\conf\__init__.py,6,124,114,0.9193548387096774,20,18,0.9,0.9193548387096774,0.16129032258064516,21,4,11,17,3,0
django,D:\coverage_ml\repos\django\django\conf\global_settings.py,6,150,150,1.0,0,0,0.0,1.0,0.0,1,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\__init__.py,7,1,1,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\ar\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\ar\formats.py,8,7,7,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\ar_DZ\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\ar_DZ\formats.py,8,14,14,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\az\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\az\formats.py,8,13,13,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\bg\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\bg\formats.py,8,6,6,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\bn\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\bn\formats.py,8,11,11,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\bs\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\bs\formats.py,8,8,8,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\ca\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\ca\formats.py,8,13,13,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\ckb\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\ckb\formats.py,8,10,10,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\cs\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\cs\formats.py,8,14,14,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\cy\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\cy\formats.py,8,13,13,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\da\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\da\formats.py,8,13,13,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\de\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\de\formats.py,8,13,13,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\de_CH\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\de_CH\formats.py,8,13,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
django,D:\coverage_ml\repos\django\django\conf\locale\el\__init__.py,8,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
