project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except
flask,src\flask\__init__.py,2,39,39,1.0,0,0,0.0,1.0,0.0,0,0,39,0,0,0
flask,src\flask\__main__.py,2,2,0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0
flask,src\flask\app.py,2,423,384,0.9078014184397163,94,87,0.925531914893617,0.9078014184397163,0.2222222222222222,40,1,62,81,14,9
flask,src\flask\blueprints.py,2,34,26,0.7647058823529411,5,3,0.6,0.7647058823529411,0.14705882352941177,4,1,11,6,0,0
flask,src\flask\cli.py,2,428,363,0.8481308411214953,74,63,0.8513513513513513,0.8481308411214953,0.17289719626168223,36,6,37,66,10,18
flask,src\flask\config.py,2,108,106,0.9814814814814815,21,21,1.0,0.9814814814814815,0.19444444444444445,14,2,9,17,5,3
flask,src\flask\ctx.py,2,156,130,0.8333333333333334,18,16,0.8888888888888888,0.8333333333333334,0.11538461538461539,27,2,17,19,0,5
flask,src\flask\debughelpers.py,2,87,77,0.8850574712643678,18,17,0.9444444444444444,0.8850574712643678,0.20689655172413793,7,4,9,15,4,1
flask,src\flask\globals.py,2,18,16,0.8888888888888888,1,1,1.0,0.8888888888888888,0.05555555555555555,2,6,10,2,0,0
flask,src\flask\helpers.py,2,117,110,0.9401709401709402,17,16,0.9411764705882353,0.9401709401709402,0.1452991452991453,19,0,19,18,0,3
flask,src\flask\logging.py,2,30,30,1.0,6,6,1.0,1.0,0.2,3,0,7,6,1,0
flask,src\flask\sessions.py,2,123,123,1.0,9,9,1.0,1.0,0.07317073170731707,25,5,15,10,0,1
flask,src\flask\signals.py,2,13,13,1.0,0,0,0.0,1.0,0.0,0,0,2,0,0,0
flask,src\flask\templating.py,2,104,98,0.9423076923076923,14,13,0.9285714285714286,0.9423076923076923,0.1346153846153846,15,2,14,10,5,2
flask,src\flask\testing.py,2,112,108,0.9642857142857143,16,16,1.0,0.9642857142857143,0.14285714285714285,12,3,18,16,1,1
flask,src\flask\typing.py,2,22,22,1.0,0,0,0.0,1.0,0.0,0,0,6,1,0,0
flask,src\flask\views.py,2,53,53,1.0,10,10,1.0,1.0,0.18867924528301888,6,2,5,7,3,0
flask,src\flask\wrappers.py,2,85,85,1.0,12,12,1.0,1.0,0.1411764705882353,12,2,11,13,0,1
flask,src\flask\json\__init__.py,3,25,22,0.88,4,4,1.0,0.88,0.16,5,0,6,5,0,0
flask,src\flask\json\provider.py,3,64,60,0.9375,8,8,1.0,0.9375,0.125,11,2,11,9,0,0
flask,src\flask\json\tag.py,3,132,132,1.0,10,10,1.0,1.0,0.07575757575757576,34,10,11,8,2,0
flask,src\flask\sansio\app.py,3,244,237,0.9713114754098361,36,35,0.9722222222222222,0.9713114754098361,0.14754098360655737,40,1,35,31,6,1
flask,src\flask\sansio\blueprints.py,3,235,231,0.9829787234042553,36,36,1.0,0.9829787234042553,0.15319148936170213,40,2,11,32,5,0
