project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except,log_loc,avg_function_size,classes_per_loc,control_flow_density,exception_density,imports_per_function,complexity_per_loc,complexity_per_function,coverage_rank
httpx,httpx\__init__.py,1,19,19,1.0,2,2,1.0,1.0,0.10526315789473684,1,0,14,1,1,1,2.995732273553991,19.0,0.0,0.10526315789473684,0.05263157894736842,14.0,0.21052631578947367,4.0,0.5909090909090909
httpx,httpx\_api.py,1,31,31,1.0,0,0,0.0,1.0,0.0,9,0,9,1,0,0,3.4657359027997265,3.4444444444444446,0.0,0.03225806451612903,0.0,1.0,0.06451612903225806,0.2222222222222222,0.5909090909090909
httpx,httpx\_auth.py,1,171,171,1.0,20,20,1.0,1.0,0.11695906432748537,19,6,13,18,5,3,5.147494476813453,9.0,0.03508771929824561,0.13450292397660818,0.017543859649122806,0.6842105263157895,0.15789473684210525,1.4210526315789473,0.5909090909090909
httpx,httpx\_client.py,1,526,526,1.0,71,71,1.0,1.0,0.13498098859315588,81,7,24,59,17,15,6.267200548541362,6.493827160493828,0.013307984790874524,0.1444866920152091,0.028517110266159697,0.2962962962962963,0.17490494296577946,1.1358024691358024,0.5909090909090909
httpx,httpx\_config.py,1,92,92,1.0,7,7,1.0,1.0,0.07608695652173914,11,4,10,16,0,0,4.532599493153256,8.363636363636363,0.043478260869565216,0.17391304347826086,0.0,0.9090909090909091,0.18478260869565216,1.5454545454545454,0.5909090909090909
httpx,httpx\_content.py,1,130,130,1.0,23,23,1.0,1.0,0.17692307692307693,17,4,10,18,4,0,4.875197323201151,7.647058823529412,0.03076923076923077,0.16923076923076924,0.0,0.5882352941176471,0.17692307692307693,1.3529411764705883,0.5909090909090909
httpx,httpx\_decoders.py,1,192,192,1.0,19,19,1.0,1.0,0.09895833333333333,31,11,9,24,3,10,5.262690188904886,6.193548387096774,0.057291666666666664,0.140625,0.052083333333333336,0.2903225806451613,0.19791666666666666,1.2258064516129032,0.5909090909090909
httpx,httpx\_exceptions.py,1,76,76,1.0,2,2,1.0,1.0,0.02631578947368421,13,28,4,3,0,1,4.343805421853684,5.846153846153846,0.3684210526315789,0.039473684210526314,0.013157894736842105,0.3076923076923077,0.06578947368421052,0.38461538461538464,0.5909090909090909
httpx,httpx\_main.py,1,168,9,0.05357142857142857,10,0,0.0,0.05357142857142857,0.05952380952380952,14,0,18,22,4,4,5.1298987149230735,12.0,0.0,0.15476190476190477,0.023809523809523808,1.2857142857142858,0.18452380952380953,2.2142857142857144,0.045454545454545456
httpx,httpx\_models.py,1,647,647,1.0,129,129,1.0,1.0,0.19938176197836166,95,6,18,77,52,9,6.473890696352274,6.810526315789474,0.00927357032457496,0.19938176197836166,0.013910355486862442,0.18947368421052632,0.21483771251931993,1.4631578947368422,0.5909090909090909
httpx,httpx\_multipart.py,1,161,160,0.9937888198757764,35,35,1.0,0.9937888198757764,0.21739130434782608,21,3,9,25,10,1,5.087596335232384,7.666666666666667,0.018633540372670808,0.21739130434782608,0.006211180124223602,0.42857142857142855,0.22981366459627328,1.7619047619047619,0.13636363636363635
httpx,httpx\_status_codes.py,1,99,99,1.0,1,1,1.0,1.0,0.010101010101010102,9,1,2,0,1,1,4.605170185988092,11.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.2222222222222222,0.030303030303030304,0.3333333333333333,0.5909090909090909
httpx,httpx\_types.py,1,27,27,1.0,0,0,0.0,1.0,0.0,4,2,6,1,0,0,3.332204510175204,6.75,0.07407407407407407,0.037037037037037035,0.0,1.5,0.07407407407407407,0.5,0.5909090909090909
httpx,httpx\_urlparse.py,1,188,188,1.0,37,37,1.0,1.0,0.19680851063829788,12,1,6,34,3,4,5.241747015059643,15.666666666666666,0.005319148936170213,0.19680851063829788,0.02127659574468085,0.5,0.22340425531914893,3.5,0.5909090909090909
httpx,httpx\_urls.py,1,193,193,1.0,18,18,1.0,1.0,0.09326424870466321,50,2,10,15,3,0,5.267858159063328,3.86,0.010362694300518135,0.09326424870466321,0.0,0.2,0.09844559585492228,0.38,0.5909090909090909
httpx,httpx\_utils.py,1,109,109,1.0,19,19,1.0,1.0,0.1743119266055046,15,1,9,18,2,4,4.700480365792417,7.266666666666667,0.009174311926605505,0.1834862385321101,0.03669724770642202,0.6,0.22935779816513763,1.6666666666666667,0.5909090909090909
httpx,httpx\_transports\__init__.py,2,6,6,1.0,0,0,0.0,1.0,0.0,0,0,5,0,0,0,1.9459101490553132,6.0,0.0,0.0,0.0,5.0,0.16666666666666666,1.0,0.5909090909090909
httpx,httpx\_transports\asgi.py,2,82,82,1.0,10,10,1.0,1.0,0.12195121951219512,8,2,10,11,0,3,4.418840607796598,10.25,0.024390243902439025,0.13414634146341464,0.036585365853658534,1.25,0.18292682926829268,1.875,0.5909090909090909
httpx,httpx\_transports\base.py,2,23,23,1.0,0,0,0.0,1.0,0.0,8,2,4,0,0,0,3.1780538303479458,2.875,0.08695652173913043,0.0,0.0,0.5,0.043478260869565216,0.125,0.5909090909090909
httpx,httpx\_transports\default.py,2,111,106,0.954954954954955,11,11,1.0,0.954954954954955,0.0990990990990991,18,4,19,13,2,3,4.718498871295094,6.166666666666667,0.036036036036036036,0.13513513513513514,0.02702702702702703,1.0555555555555556,0.17117117117117117,1.0555555555555556,0.09090909090909091
httpx,httpx\_transports\mock.py,2,20,20,1.0,1,1,1.0,1.0,0.05,3,1,4,2,0,0,3.044522437723423,6.666666666666667,0.05,0.1,0.0,1.3333333333333333,0.15,1.0,0.5909090909090909
httpx,httpx\_transports\wsgi.py,2,60,60,1.0,7,7,1.0,1.0,0.11666666666666667,7,2,10,5,3,0,4.110873864173311,8.571428571428571,0.03333333333333333,0.13333333333333333,0.0,1.4285714285714286,0.15,1.2857142857142858,0.5909090909090909
