project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except
pytest,src\py.py,1,7,7,1.0,0,0,0.0,1.0,0.0,0,0,4,0,0,0
pytest,src\_pytest\__init__.py,2,5,5,1.0,0,0,0.0,1.0,0.0,0,0,3,0,0,1
pytest,src\_pytest\_argcomplete.py,2,36,13,0.3611111111111111,6,1,0.16666666666666666,0.3611111111111111,0.16666666666666666,4,1,7,5,1,1
pytest,src\_pytest\_version.py,2,13,13,1.0,0,0,0.0,1.0,0.0,0,0,2,1,0,0
pytest,src\_pytest\cacheprovider.py,2,325,321,0.9876923076923076,46,46,1.0,0.9876923076923076,0.14153846153846153,33,5,30,39,7,5
pytest,src\_pytest\capture.py,2,614,584,0.9511400651465798,60,58,0.9666666666666667,0.9511400651465798,0.09771986970684039,117,17,37,61,0,8
pytest,src\_pytest\compat.py,2,118,108,0.9152542372881356,11,11,1.0,0.9152542372881356,0.09322033898305085,21,2,21,13,0,5
pytest,src\_pytest\debugging.py,2,238,187,0.7857142857142857,37,29,0.7837837837837838,0.7857142857142857,0.15546218487394958,23,4,27,34,3,2
pytest,src\_pytest\deprecated.py,2,17,17,1.0,1,1,1.0,1.0,0.058823529411764705,1,0,6,1,0,0
pytest,src\_pytest\doctest.py,2,341,322,0.9442815249266863,49,45,0.9183673469387755,0.9442815249266863,0.1436950146627566,43,8,50,42,8,3
pytest,src\_pytest\faulthandler.py,2,67,67,1.0,5,5,1.0,1.0,0.07462686567164178,9,0,14,5,0,2
pytest,src\_pytest\fixtures.py,2,911,894,0.9813391877058177,147,147,1.0,0.9813391877058177,0.16136114160263446,105,12,76,112,39,16
pytest,src\_pytest\freeze_support.py,2,19,5,0.2631578947368421,4,0,0.0,0.2631578947368421,0.21052631578947367,2,0,6,2,2,0
pytest,src\_pytest\helpconfig.py,2,130,129,0.9923076923076923,21,21,1.0,0.9923076923076923,0.16153846153846155,10,1,14,13,8,0
pytest,src\_pytest\hookspec.py,2,82,82,1.0,0,0,0.0,1.0,0.0,52,0,32,1,0,0
pytest,src\_pytest\junitxml.py,2,360,355,0.9861111111111112,55,55,1.0,0.9861111111111112,0.1527777777777778,47,2,21,48,7,0
pytest,src\_pytest\legacypath.py,2,212,162,0.7641509433962265,4,4,1.0,0.7641509433962265,0.018867924528301886,64,4,29,5,0,1
pytest,src\_pytest\logging.py,2,449,441,0.9821826280623608,50,50,1.0,0.9821826280623608,0.111358574610245,61,10,37,46,5,7
pytest,src\_pytest\main.py,2,537,528,0.9832402234636871,100,99,0.99,0.9832402234636871,0.186219739292365,41,7,45,88,13,7
pytest,src\_pytest\monkeypatch.py,2,170,165,0.9705882352941176,31,31,1.0,0.9705882352941176,0.18235294117647058,17,1,25,27,4,5
pytest,src\_pytest\nodes.py,2,304,291,0.9572368421052632,53,52,0.9811320754716981,0.9572368421052632,0.17434210526315788,41,8,43,47,7,4
pytest,src\_pytest\outcomes.py,2,93,92,0.989247311827957,10,10,1.0,0.989247311827957,0.10752688172043011,9,9,9,10,0,1
pytest,src\_pytest\pastebin.py,2,74,72,0.972972972972973,8,8,1.0,0.972972972972973,0.10810810810810811,6,0,14,7,1,2
pytest,src\_pytest\pathlib.py,2,485,457,0.9422680412371134,92,89,0.967391304347826,0.9422680412371134,0.18969072164948453,45,3,39,77,16,24
pytest,src\_pytest\pytester.py,2,777,699,0.8996138996138996,86,77,0.8953488372093024,0.8996138996138996,0.11068211068211069,117,15,65,68,22,9
pytest,src\_pytest\pytester_assertions.py,2,21,21,1.0,2,2,1.0,1.0,0.09523809523809523,2,0,4,2,0,0
pytest,src\_pytest\python.py,2,786,770,0.9796437659033079,150,150,1.0,0.9796437659033079,0.19083969465648856,84,11,75,131,20,7
pytest,src\_pytest\python_api.py,2,295,224,0.7593220338983051,62,45,0.7258064516129032,0.7593220338983051,0.21016949152542372,36,6,19,53,10,6
pytest,src\_pytest\raises.py,2,444,442,0.9954954954954955,111,111,1.0,0.9954954954954955,0.25,59,5,32,99,14,2
pytest,src\_pytest\recwarn.py,2,127,126,0.9921259842519685,23,23,1.0,0.9921259842519685,0.18110236220472442,20,2,18,20,4,1
pytest,src\_pytest\reports.py,2,319,300,0.9404388714733543,41,40,0.975609756097561,0.9404388714733543,0.12852664576802508,40,4,36,39,8,2
pytest,src\_pytest\runner.py,2,304,303,0.9967105263157895,51,51,1.0,0.9967105263157895,0.16776315789473684,27,2,35,47,7,5
pytest,src\_pytest\scope.py,2,37,37,1.0,2,2,1.0,1.0,0.05405405405405406,4,1,5,2,0,1
pytest,src\_pytest\setuponly.py,2,58,58,1.0,12,12,1.0,1.0,0.20689655172413793,5,0,10,13,0,1
pytest,src\_pytest\setupplan.py,2,23,23,1.0,2,2,1.0,1.0,0.08695652173913043,3,0,7,2,0,0
pytest,src\_pytest\skipping.py,2,168,168,1.0,34,34,1.0,1.0,0.20238095238095238,10,2,22,29,6,4
pytest,src\_pytest\stash.py,2,35,35,1.0,0,0,0.0,1.0,0.0,8,2,5,0,0,2
pytest,src\_pytest\stepwise.py,2,110,107,0.9727272727272728,18,18,1.0,0.9727272727272728,0.16363636363636364,13,2,13,18,1,1
pytest,src\_pytest\subtests.py,2,221,221,1.0,30,30,1.0,1.0,0.13574660633484162,20,6,35,32,0,1
pytest,src\_pytest\terminal.py,2,1048,1016,0.9694656488549618,227,225,0.9911894273127754,0.9694656488549618,0.21660305343511452,105,5,48,188,35,4
pytest,src\_pytest\terminalprogress.py,2,12,12,1.0,1,1,1.0,1.0,0.08333333333333333,1,0,6,1,0,0
pytest,src\_pytest\threadexception.py,2,84,83,0.9880952380952381,5,5,1.0,0.9880952380952381,0.05952380952380952,7,1,16,6,1,6
pytest,src\_pytest\timing.py,2,36,36,1.0,0,0,0.0,1.0,0.0,6,3,10,1,0,0
pytest,src\_pytest\tmpdir.py,2,153,145,0.9477124183006536,17,15,0.8823529411764706,0.9477124183006536,0.1111111111111111,13,1,29,17,0,2
pytest,src\_pytest\tracemalloc.py,2,14,12,0.8571428571428571,2,2,1.0,0.8571428571428571,0.14285714285714285,1,0,2,2,0,1
pytest,src\_pytest\unittest.py,2,333,274,0.8228228228228228,51,40,0.7843137254901961,0.8228228228228228,0.15315315315315314,34,3,48,54,2,13
pytest,src\_pytest\unraisableexception.py,2,90,89,0.9888888888888889,6,6,1.0,0.9888888888888889,0.06666666666666667,8,1,16,6,2,6
pytest,src\_pytest\warning_types.py,2,67,66,0.9850746268656716,0,0,0.0,0.9850746268656716,0.0,3,15,9,0,0,1
pytest,src\_pytest\warnings.py,2,66,66,1.0,6,6,1.0,1.0,0.09090909090909091,8,0,15,3,3,1
pytest,src\_pytest\_code\__init__.py,3,11,11,1.0,0,0,0.0,1.0,0.0,0,0,10,0,0,0
pytest,src\_pytest\_code\code.py,3,813,780,0.959409594095941,124,124,1.0,0.959409594095941,0.15252152521525214,103,17,46,104,22,13
pytest,src\_pytest\_code\source.py,3,148,145,0.9797297297297297,25,25,1.0,0.9797297297297297,0.16891891891891891,18,1,11,19,7,4
pytest,src\_pytest\_io\__init__.py,3,4,4,1.0,0,0,0.0,1.0,0.0,0,0,3,0,0,0
pytest,src\_pytest\_io\pprint.py,3,331,239,0.7220543806646526,59,39,0.6610169491525424,0.7220543806646526,0.1782477341389728,31,2,10,49,10,1
pytest,src\_pytest\_io\saferepr.py,3,67,67,1.0,5,5,1.0,1.0,0.07462686567164178,9,1,3,5,0,6
pytest,src\_pytest\_io\terminalwriter.py,3,136,134,0.9852941176470589,25,25,1.0,0.9852941176470589,0.18382352941176472,16,1,17,24,2,3
pytest,src\_pytest\_io\wcwidth.py,3,26,26,1.0,7,7,1.0,1.0,0.2692307692307692,2,0,3,6,1,0
pytest,src\_pytest\_py\__init__.py,3,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
pytest,src\_pytest\_py\error.py,3,54,44,0.8148148148148148,4,3,0.75,0.8148148148148148,0.07407407407407407,6,2,8,5,0,3
pytest,src\_pytest\_py\path.py,3,931,687,0.7379162191192267,176,145,0.8238636363636364,0.7379162191192267,0.18904403866809882,119,7,45,161,22,44
pytest,src\_pytest\assertion\__init__.py,3,89,88,0.9887640449438202,13,13,1.0,0.9887640449438202,0.14606741573033707,13,3,15,11,3,1
pytest,src\_pytest\assertion\rewrite.py,3,669,655,0.9790732436472347,109,109,1.0,0.9790732436472347,0.16292974588938713,52,3,44,83,20,11
pytest,src\_pytest\assertion\truncate.py,3,47,47,1.0,7,7,1.0,1.0,0.14893617021276595,4,0,4,6,1,0
pytest,src\_pytest\assertion\util.py,3,324,319,0.9845679012345679,72,72,1.0,0.9845679012345679,0.2222222222222222,28,1,23,63,10,2
pytest,src\_pytest\config\__init__.py,3,998,975,0.9769539078156313,178,177,0.9943820224719101,0.9769539078156313,0.17835671342685372,95,8,85,152,30,33
pytest,src\_pytest\config\argparsing.py,3,207,198,0.9565217391304348,37,36,0.972972972972973,0.9565217391304348,0.178743961352657,29,6,17,28,9,1
pytest,src\_pytest\config\compat.py,3,6,4,0.6666666666666666,1,0,0.0,0.6666666666666666,0.16666666666666666,1,0,3,1,0,0
pytest,src\_pytest\config\exceptions.py,3,6,6,1.0,0,0,0.0,1.0,0.0,0,2,2,0,0,0
pytest,src\_pytest\config\findpaths.py,3,166,164,0.9879518072289156,43,43,1.0,0.9879518072289156,0.25903614457831325,12,1,18,36,7,3
pytest,src\_pytest\mark\__init__.py,3,137,137,1.0,20,20,1.0,1.0,0.145985401459854,13,2,27,15,6,1
pytest,src\_pytest\mark\expression.py,3,178,178,1.0,29,29,1.0,1.0,0.16292134831460675,22,7,16,25,4,0
pytest,src\_pytest\mark\structures.py,3,242,238,0.9834710743801653,40,40,1.0,0.9834710743801653,0.1652892561983471,42,12,33,38,5,1
pytest,src\pytest\__init__.py,2,90,90,1.0,0,0,0.0,1.0,0.0,0,0,88,0,0,0
pytest,src\pytest\__main__.py,2,4,4,1.0,1,1,1.0,1.0,0.25,0,0,2,1,0,0
