project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except
requests,src\requests\__init__.py,2,67,42,0.6268656716417911,0,0,0.0,0.6268656716417911,0.0,2,0,18,6,0,6
requests,src\requests\__version__.py,2,10,10,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
requests,src\requests\_internal_utils.py,2,21,21,1.0,0,0,0.0,1.0,0.0,2,0,2,1,0,1
requests,src\requests\adapters.py,2,237,208,0.8776371308016878,0,0,0.0,0.8776371308016878,0.0,20,2,24,37,2,5
requests,src\requests\api.py,2,19,16,0.8421052631578947,0,0,0.0,0.8421052631578947,0.0,8,0,1,0,0,0
requests,src\requests\auth.py,2,173,152,0.8786127167630058,0,0,0.0,0.8786127167630058,0.0,19,4,11,29,0,1
requests,src\requests\certs.py,2,3,2,0.6666666666666666,0,0,0.0,0.6666666666666666,0.0,0,0,1,1,0,0
requests,src\requests\compat.py,2,42,38,0.9047619047619048,0,0,0.0,0.9047619047619048,0.0,1,0,14,2,1,3
requests,src\requests\cookies.py,2,239,186,0.7782426778242678,0,0,0.0,0.7782426778242678,0.0,49,4,7,33,15,5
requests,src\requests\exceptions.py,2,39,39,1.0,0,0,0.0,1.0,0.0,3,25,2,1,0,0
requests,src\requests\help.py,2,62,43,0.6935483870967742,0,0,0.0,0.6935483870967742,0.0,3,0,12,9,0,4
requests,src\requests\hooks.py,2,14,14,1.0,0,0,0.0,1.0,0.0,2,0,0,3,1,0
requests,src\requests\models.py,2,458,421,0.9192139737991266,0,0,0.0,0.9192139737991266,0.0,44,5,23,78,12,13
requests,src\requests\packages.py,2,15,15,1.0,0,0,0.0,1.0,0.0,0,0,2,3,3,0
requests,src\requests\sessions.py,2,268,257,0.9589552238805971,0,0,0.0,0.9589552238805971,0.0,28,2,16,37,9,3
requests,src\requests\status_codes.py,2,14,14,1.0,0,0,0.0,1.0,0.0,2,0,1,1,2,0
requests,src\requests\structures.py,2,39,39,1.0,0,0,0.0,1.0,0.0,14,2,2,2,0,0
requests,src\requests\utils.py,2,480,429,0.89375,0,0,0.0,0.89375,0.0,43,0,24,90,14,21
requests,tests\__init__.py,1,6,5,0.8333333333333334,0,0,0.0,0.8333333333333334,0.0,0,0,2,0,0,1
requests,tests\compat.py,1,12,10,0.8333333333333334,0,0,0.0,0.8333333333333334,0.0,1,0,4,0,0,2
requests,tests\conftest.py,1,37,19,0.5135135135135135,0,0,0.0,0.5135135135135135,0.0,5,0,8,0,0,1
requests,tests\test_adapters.py,1,5,5,1.0,0,0,0.0,1.0,0.0,1,0,1,0,0,0
requests,tests\test_help.py,1,13,13,1.0,0,0,0.0,1.0,0.0,4,1,2,0,0,0
requests,tests\test_hooks.py,1,9,9,1.0,0,0,0.0,1.0,0.0,3,0,2,0,0,0
requests,tests\test_lowlevel.py,1,227,227,1.0,0,0,0.0,1.0,0.0,22,0,6,0,3,0
requests,tests\test_packages.py,1,7,7,1.0,0,0,0.0,1.0,0.0,3,0,1,0,0,0
requests,tests\test_requests.py,1,1808,1770,0.9789823008849557,0,0,0.0,0.9789823008849557,0.0,274,17,33,9,16,12
requests,tests\test_structures.py,1,42,42,1.0,0,0,0.0,1.0,0.0,12,2,2,0,0,0
requests,tests\test_testserver.py,1,107,93,0.8691588785046729,0,0,0.0,0.8691588785046729,0.0,12,1,6,0,1,0
requests,tests\test_utils.py,1,344,338,0.9825581395348837,0,0,0.0,0.9825581395348837,0.0,77,18,18,11,0,0
requests,tests\utils.py,1,13,12,0.9230769230769231,0,0,0.0,0.9230769230769231,0.0,1,0,2,1,1,1
requests,tests\testserver\__init__.py,2,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
requests,tests\testserver\server.py,2,106,103,0.9716981132075472,0,0,0.0,0.9716981132075472,0.0,14,2,4,9,2,3
