project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except
scrapy,scrapy\__init__.py,1,14,14,1.0,0,0,0.0,1.0,0.0,0,0,7,0,0,0
scrapy,scrapy\addons.py,1,29,28,0.9655172413793104,5,5,1.0,0.9655172413793104,0.1724137931034483,3,1,8,4,2,1
scrapy,scrapy\cmdline.py,1,141,97,0.6879432624113475,27,20,0.7407407407407407,0.6879432624113475,0.19148936170212766,15,1,18,22,6,3
scrapy,scrapy\crawler.py,1,301,292,0.9700996677740864,40,40,1.0,0.9700996677740864,0.132890365448505,42,7,34,38,3,4
scrapy,scrapy\dupefilters.py,1,62,62,1.0,6,6,1.0,1.0,0.0967741935483871,11,2,13,7,0,0
scrapy,scrapy\exceptions.py,1,25,25,1.0,0,0,0.0,1.0,0.0,4,11,2,0,0,0
scrapy,scrapy\exporters.py,1,232,232,1.0,33,33,1.0,1.0,0.14224137931034483,40,9,16,28,6,2
scrapy,scrapy\extension.py,1,9,9,1.0,0,0,0.0,1.0,0.0,1,1,5,1,0,0
scrapy,scrapy\interfaces.py,1,6,6,1.0,0,0,0.0,1.0,0.0,4,1,1,0,0,0
scrapy,scrapy\item.py,1,62,61,0.9838709677419355,9,9,1.0,0.9838709677419355,0.14516129032258066,13,3,9,8,2,0
scrapy,scrapy\link.py,1,18,17,0.9444444444444444,2,2,1.0,0.9444444444444444,0.1111111111111111,4,1,0,2,0,0
scrapy,scrapy\logformatter.py,1,52,52,1.0,5,5,1.0,1.0,0.09615384615384616,7,2,11,6,0,0
scrapy,scrapy\mail.py,1,89,69,0.7752808988764045,8,7,0.875,0.7752808988764045,0.0898876404494382,8,1,22,8,1,0
scrapy,scrapy\middleware.py,1,73,73,1.0,13,13,1.0,1.0,0.1780821917808219,9,1,18,11,3,1
scrapy,scrapy\pqueues.py,1,164,162,0.9878048780487805,25,25,1.0,0.9878048780487805,0.1524390243902439,30,4,10,21,5,3
scrapy,scrapy\resolver.py,1,79,75,0.9493670886075949,6,6,1.0,0.9493670886075949,0.0759493670886076,15,4,11,6,1,1
scrapy,scrapy\responsetypes.py,1,74,70,0.9459459459459459,16,16,1.0,0.9459459459459459,0.21621621621621623,8,1,9,16,1,1
scrapy,scrapy\robotstxt.py,1,61,51,0.8360655737704918,1,1,1.0,0.8360655737704918,0.01639344262295082,12,4,12,2,0,1
scrapy,scrapy\shell.py,1,143,36,0.2517482517482518,18,0,0.0,0.2517482517482518,0.1258741258741259,12,1,24,18,1,0
scrapy,scrapy\signalmanager.py,1,33,31,0.9393939393939394,0,0,0.0,0.9393939393939394,0.0,7,1,8,0,0,0
scrapy,scrapy\signals.py,1,20,20,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
scrapy,scrapy\spiderloader.py,1,73,72,0.9863013698630136,6,6,1.0,0.9863013698630136,0.0821917808219178,17,3,14,3,4,2
scrapy,scrapy\squeues.py,1,83,79,0.9518072289156626,5,5,1.0,0.9518072289156626,0.060240963855421686,16,4,12,6,0,3
scrapy,scrapy\statscollectors.py,1,69,66,0.9565217391304348,3,3,1.0,0.9565217391304348,0.043478260869565216,21,3,7,4,0,1
scrapy,scrapy\commands\__init__.py,2,88,50,0.5681818181818182,9,5,0.5555555555555556,0.5681818181818182,0.10227272727272728,14,3,13,9,1,2
scrapy,scrapy\commands\bench.py,2,44,26,0.5909090909090909,1,0,0.0,0.5909090909090909,0.022727272727272728,5,3,13,1,1,0
scrapy,scrapy\commands\check.py,2,76,67,0.881578947368421,13,12,0.9230769230769231,0.881578947368421,0.17105263157894737,5,2,9,8,5,0
scrapy,scrapy\commands\crawl.py,2,21,9,0.42857142857142855,3,0,0.0,0.42857142857142855,0.14285714285714285,3,1,5,4,0,0
scrapy,scrapy\commands\edit.py,2,34,15,0.4411764705882353,1,0,0.0,0.4411764705882353,0.029411764705882353,5,1,6,1,0,1
scrapy,scrapy\commands\fetch.py,2,53,50,0.9433962264150944,6,6,1.0,0.9433962264150944,0.11320754716981132,8,1,12,5,2,0
scrapy,scrapy\commands\genspider.py,2,126,30,0.23809523809523808,19,0,0.0,0.23809523809523808,0.15079365079365079,13,1,14,19,1,1
scrapy,scrapy\commands\list.py,2,15,10,0.6666666666666666,1,0,0.0,0.6666666666666666,0.06666666666666667,2,1,5,1,1,0
scrapy,scrapy\commands\parse.py,2,223,51,0.22869955156950672,43,0,0.0,0.22869955156950672,0.19282511210762332,26,1,23,38,6,3
scrapy,scrapy\commands\runspider.py,2,46,16,0.34782608695652173,5,0,0.0,0.34782608695652173,0.10869565217391304,5,1,12,6,0,2
