project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except
sqlalchemy,examples\__init__.py,1,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
sqlalchemy,examples\syntax_extensions\__init__.py,2,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
sqlalchemy,examples\syntax_extensions\qualify.py,2,24,0,0.0,0,0,0.0,0.0,0.0,4,1,10,0,0,0
sqlalchemy,examples\syntax_extensions\test_qualify.py,2,45,0,0.0,0,0,0.0,0.0,0.0,8,2,12,1,0,0
sqlalchemy,examples\versioned_history\__init__.py,2,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
sqlalchemy,examples\versioned_history\history_meta.py,2,158,0,0.0,0,0,0.0,0.0,0.0,10,1,16,29,14,1
sqlalchemy,examples\versioned_history\test_versioning.py,2,486,0,0.0,0,0,0.0,0.0,0.0,24,35,32,10,0,0
sqlalchemy,lib\sqlalchemy\__init__.py,2,273,0,0.0,0,0,0.0,0.0,0.0,1,0,268,0,0,0
sqlalchemy,lib\sqlalchemy\exc.py,2,234,0,0.0,0,0,0.0,0.0,0.0,31,52,16,22,1,1
sqlalchemy,lib\sqlalchemy\inspection.py,2,52,0,0.0,0,0,0.0,0.0,0.0,11,3,13,7,2,0
sqlalchemy,lib\sqlalchemy\log.py,2,102,0,0.0,0,0,0.0,0.0,0.0,20,3,12,11,0,0
sqlalchemy,lib\sqlalchemy\schema.py,2,58,0,0.0,0,0,0.0,0.0,0.0,0,0,58,0,0,0
sqlalchemy,lib\sqlalchemy\types.py,2,65,0,0.0,0,0,0.0,0.0,0.0,0,0,65,0,0,0
sqlalchemy,lib\sqlalchemy\connectors\__init__.py,3,2,0,0.0,0,0,0.0,0.0,0.0,0,1,1,0,0,0
sqlalchemy,lib\sqlalchemy\connectors\aioodbc.py,3,72,0,0.0,0,0,0.0,0.0,0.0,16,5,10,6,1,0
sqlalchemy,lib\sqlalchemy\connectors\asyncio.py,3,217,0,0.0,0,0,0.0,0.0,0.0,46,8,27,18,2,8
sqlalchemy,lib\sqlalchemy\connectors\pyodbc.py,3,114,0,0.0,0,0,0.0,0.0,0.0,12,1,20,18,2,1
sqlalchemy,lib\sqlalchemy\dialects\__init__.py,3,27,0,0.0,0,0,0.0,0.0,0.0,1,0,8,4,0,1
sqlalchemy,lib\sqlalchemy\dialects\_typing.py,3,16,0,0.0,0,0,0.0,0.0,0.0,0,0,11,0,0,0
sqlalchemy,lib\sqlalchemy\dialects\mssql\__init__.py,4,40,0,0.0,0,0,0.0,0.0,0.0,0,0,38,0,0,0
sqlalchemy,lib\sqlalchemy\dialects\mssql\aioodbc.py,4,12,0,0.0,0,0,0.0,0.0,0.0,1,2,4,0,0,0
sqlalchemy,lib\sqlalchemy\dialects\mssql\base.py,4,1205,0,0.0,0,0,0.0,0.0,0.0,177,33,57,186,7,7
sqlalchemy,lib\sqlalchemy\dialects\mssql\information_schema.py,4,53,0,0.0,0,0,0.0,0.0,0.0,5,4,14,1,0,0
sqlalchemy,lib\sqlalchemy\dialects\mssql\json.py,4,30,0,0.0,0,0,0.0,0.0,0.0,7,4,1,3,0,0
sqlalchemy,lib\sqlalchemy\dialects\mssql\pymssql.py,4,57,0,0.0,0,0,0.0,0.0,0.0,8,3,6,7,1,0
sqlalchemy,lib\sqlalchemy\dialects\mssql\pyodbc.py,4,177,0,0.0,0,0,0.0,0.0,0.0,24,17,20,23,2,3
sqlalchemy,lib\sqlalchemy\dialects\mysql\__init__.py,4,51,0,0.0,0,0,0.0,0.0,0.0,0,0,49,0,0,0
sqlalchemy,lib\sqlalchemy\dialects\mysql\aiomysql.py,4,89,0,0.0,0,0,0.0,0.0,0.0,18,7,22,2,2,0
sqlalchemy,lib\sqlalchemy\dialects\mysql\asyncmy.py,4,94,0,0.0,0,0,0.0,0.0,0.0,17,5,24,3,1,1
sqlalchemy,lib\sqlalchemy\dialects\mysql\base.py,4,1182,0,0.0,0,0,0.0,0.0,0.0,160,8,119,193,15,5
sqlalchemy,lib\sqlalchemy\dialects\mysql\cymysql.py,4,42,0,0.0,0,0,0.0,0.0,0.0,6,2,17,4,1,0
sqlalchemy,lib\sqlalchemy\dialects\mysql\dml.py,4,81,0,0.0,0,0,0.0,0.0,0.0,10,3,31,8,0,0
sqlalchemy,lib\sqlalchemy\dialects\mysql\enumerated.py,4,94,0,0.0,0,0,0.0,0.0,0.0,14,2,20,18,1,0
sqlalchemy,lib\sqlalchemy\dialects\mysql\expression.py,4,40,0,0.0,0,0,0.0,0.0,0.0,4,1,11,3,0,0
sqlalchemy,lib\sqlalchemy\dialects\mysql\json.py,4,34,0,0.0,0,0,0.0,0.0,0.0,7,4,7,4,0,0
sqlalchemy,lib\sqlalchemy\dialects\mysql\mariadb.py,4,54,0,0.0,0,0,0.0,0.0,0.0,7,5,15,3,0,0
sqlalchemy,lib\sqlalchemy\dialects\mysql\mariadbconnector.py,4,136,0,0.0,0,0,0.0,0.0,0.0,21,5,26,18,2,2
sqlalchemy,lib\sqlalchemy\dialects\mysql\mysqlconnector.py,4,127,0,0.0,0,0,0.0,0.0,0.0,19,8,30,6,0,1
sqlalchemy,lib\sqlalchemy\dialects\mysql\mysqldb.py,4,121,0,0.0,0,0,0.0,0.0,0.0,15,3,22,11,1,3
sqlalchemy,lib\sqlalchemy\dialects\mysql\pymysql.py,4,56,0,0.0,0,0,0.0,0.0,0.0,7,1,14,6,0,3
sqlalchemy,lib\sqlalchemy\dialects\mysql\pyodbc.py,4,65,0,0.0,0,0,0.0,0.0,0.0,8,3,19,5,0,1
sqlalchemy,lib\sqlalchemy\dialects\mysql\reflection.py,4,300,0,0.0,0,0,0.0,0.0,0.0,22,2,20,60,14,1
