project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except
tornado,__init__.py,0,9,9,1.0,0,0,0.0,1.0,0.0,1,0,2,1,0,0
tornado,_locale_data.py,0,1,1,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0,0
tornado,auth.py,0,367,332,0.9046321525885559,0,0,0.0,0.9046321525885559,0.0,20,7,14,59,4,0
tornado,autoreload.py,0,146,0,0.0,0,0,0.0,0.0,0.0,8,0,19,24,4,3
tornado,concurrent.py,0,79,72,0.9113924050632911,0,0,0.0,0.9113924050632911,0.0,14,2,9,11,0,1
tornado,curl_httpclient.py,0,306,0,0.0,0,0,0.0,0.0,0.0,19,2,18,55,12,7
tornado,escape.py,0,125,112,0.896,0,0,0.0,0.896,0.0,21,0,7,23,1,0
tornado,gen.py,0,312,282,0.9038461538461539,0,0,0.0,0.9038461538461539,0.0,35,9,19,38,5,14
tornado,http1connection.py,0,448,430,0.9598214285714286,0,0,0.0,0.9598214285714286,0.0,32,6,12,89,6,8
tornado,httpclient.py,0,238,210,0.8823529411764706,0,0,0.0,0.8823529411764706,0.0,28,6,14,32,1,1
tornado,httpserver.py,0,123,112,0.9105691056910569,0,0,0.0,0.9105691056910569,0.0,22,4,12,13,2,0
tornado,httputil.py,0,495,444,0.896969696969697,0,0,0.0,0.896969696969697,0.0,55,13,22,74,18,8
tornado,ioloop.py,0,277,218,0.7870036101083032,0,0,0.0,0.7870036101083032,0.0,54,4,25,32,0,7
tornado,iostream.py,0,720,628,0.8722222222222222,0,0,0.0,0.8722222222222222,0.0,71,8,20,116,6,26
tornado,locale.py,0,219,181,0.8264840182648402,0,0,0.0,0.8264840182648402,0.0,20,3,11,42,6,1
tornado,locks.py,0,152,150,0.9868421052631579,0,0,0.0,0.9868421052631579,0.0,31,7,8,17,4,1
tornado,log.py,0,113,75,0.6637168141592921,0,0,0.0,0.6637168141592921,0.0,6,1,10,20,2,5
tornado,netutil.py,0,225,174,0.7733333333333333,0,0,0.0,0.7733333333333333,0.0,22,7,12,39,3,7
tornado,options.py,0,250,227,0.908,0,0,0.0,0.908,0.0,37,4,10,38,11,2
tornado,process.py,0,175,38,0.21714285714285714,0,0,0.0,0.21714285714285714,0.0,14,1,16,24,6,5
tornado,queues.py,0,144,144,1.0,0,0,0.0,1.0,0.0,30,6,9,16,2,2
tornado,routing.py,0,217,202,0.9308755760368663,0,0,0.0,0.9308755760368663,0.0,37,13,8,36,5,2
tornado,simple_httpclient.py,0,356,343,0.9634831460674157,0,0,0.0,0.9634831460674157,0.0,26,4,25,74,4,4
tornado,tcpclient.py,0,139,128,0.920863309352518,0,0,0.0,0.920863309352518,0.0,15,2,14,22,2,4
tornado,tcpserver.py,0,84,62,0.7380952380952381,0,0,0.0,0.7380952380952381,0.0,9,1,14,13,2,2
tornado,template.py,0,488,431,0.8831967213114754,0,0,0.0,0.8831967213114754,0.0,69,23,13,71,6,2
tornado,testing.py,0,286,241,0.8426573426573427,0,0,0.0,0.8426573426573427,0.0,40,4,26,40,3,4
tornado,util.py,0,163,138,0.8466257668711656,0,0,0.0,0.8466257668711656,0.0,27,4,14,19,1,6
tornado,web.py,0,1462,1320,0.9028727770177839,0,0,0.0,0.9028727770177839,0.0,194,19,42,254,29,22
tornado,websocket.py,0,723,633,0.8755186721991701,0,0,0.0,0.8755186721991701,0.0,89,13,27,103,6,11
tornado,wsgi.py,0,94,86,0.9148936170212766,0,0,0.0,0.9148936170212766,0.0,7,1,14,13,3,2
tornado,platform\__init__.py,1,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
tornado,platform\asyncio.py,1,333,295,0.8858858858858859,0,0,0.0,0.8858858858858859,0.0,46,7,16,36,7,16
tornado,platform\caresresolver.py,1,51,0,0.0,0,0,0.0,0.0,0.0,4,1,8,10,1,0
tornado,platform\twisted.py,1,21,0,0.0,0,0,0.0,0.0,0.0,3,0,7,1,0,1
tornado,test\__init__.py,1,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
tornado,test\__main__.py,1,3,0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0
tornado,test\asyncio_test.py,1,160,152,0.95,0,0,0.0,0.95,0.0,25,6,14,1,6,1
tornado,test\auth_test.py,1,305,290,0.9508196721311475,0,0,0.0,0.9508196721311475,0.0,55,25,10,16,0,3
tornado,test\autoreload_test.py,1,78,72,0.9230769230769231,0,0,0.0,0.9230769230769231,0.0,8,1,9,5,3,1
tornado,test\circlerefs_test.py,1,141,138,0.9787234042553191,0,0,0.0,0.9787234042553191,0.0,15,7,13,5,5,2
tornado,test\concurrent_test.py,1,160,157,0.98125,0,0,0.0,0.98125,0.0,25,12,11,5,0,0
tornado,test\curl_httpclient_test.py,1,88,32,0.36363636363636365,0,0,0.0,0.36363636363636365,0.0,14,5,10,4,1,1
tornado,test\escape_test.py,1,59,57,0.9661016949152542,0,0,0.0,0.9661016949152542,0.0,11,1,5,1,5,0
tornado,test\gen_test.py,1,767,759,0.9895697522816167,0,0,0.0,0.9895697522816167,0.0,139,14,20,21,7,10
tornado,test\http1connection_test.py,1,46,46,1.0,0,0,0.0,1.0,0.0,7,2,8,0,0,0
